comments,candidate,cleaned_comments
who built the digital centre then I can proceed.,Bawumia,built digital centre proceed
s commitment to,Bawumia,commitment
's forward-thinking,Bawumia,forward thinking
is the way -,Bawumia,way
"to progress, which is why we need Dr.",Bawumia,progress need dr
over the John do little on this one!!..Give JDM a laptop and let him operate...he knows nothing about,Bawumia,john little one give jdm laptop let operate know nothing
"Has Vision n Bold Solutions For Future,
 Ghana Card,",Bawumia,vision bold solution future ghana card
"n Audio Promises,",Bawumia,audio promise
/ prepaid meter all started during Rawlings' time. So Okontro,Bawumia,prepaid meter started rawlings time okontro
"'s face to that of Mr. Mahama , you'll easily know the cursed one ! One killed our Fante President Prof and another is saying it's possible to develop Ghana with technology through",Bawumia,face mr mahama easily know cursed one one killed fante president prof another saying possible develop ghana technology
. Now he says It Is Possible. Of course it's possible for a braggart Economist/head of the EMT to push an economy from B-status to JUNK status. Failed Economist,Bawumia,say possible course possible braggart economist head emt push economy status junk status failed economist
claiming,Bawumia,claiming
s achievements in the,Bawumia,achievement
of Ghana is a testament to Dr.,Bawumia,ghana testament dr
is boasting with,Bawumia,boasting
"Don't Have Any Credible New Policies n Campaign Messages,
 He's Lying,Giving More Audio Promises n Only Talking About Fshs,Ghana Card,",Bawumia,credible new policy campaign message lying giving audio promise talking fsh ghana card
credit Akuffo for the so-called,Bawumia,credit akuffo called
"stole Mahama's projects.
 1. Pokuase interchange 
 2.",Bawumia,stole mahama project pokuase interchange
the president? Why is he taking credit for,Bawumia,president taking credit
",
 But Dis Things Are Still Not Solving Our Problems n Bringing Food On Our Tables",Bawumia,dis thing still solving problem bringing food table
but f it comes to,Bawumia,come
", etc have been credited to",Bawumia,etc credited
is a corruption vehicle for the useless,Bawumia,corruption vehicle useless
lying that he's the champion of the,Bawumia,lying champion
agenda. Have u ever heard,Bawumia,agenda ever heard
never said anywhere that he built anything. As Veep his whole agenda has been,Bawumia,never said anywhere built anything veep whole agenda
campaign team be tiwui cuz how do you miss this grand chance for Mr,Bawumia,campaign team tiwui cuz miss grand chance mr
initiatives was assigned to his office and he has delivered unless you me that Mahama was assigned to work on getting funds for these projects which cannot be true also.,Bawumia,initiative assigned office delivered unless mahama assigned work getting fund project cannot true also
is in charge of his,Bawumia,charge
even as Vice President. Mmoasem!,Bawumia,even vice president mmoasem
"is now left with only fools, thus the narrative",Bawumia,left fool thus narrative
doesn't have any projects to his name.,Bawumia,project name
can take credit as Vice President for the supposed,Bawumia,take credit vice president supposed
and the president! But today the clown think he's the brain behind,Bawumia,president today clown think brain behind
campaigning on,Bawumia,campaigning
become President to have had projects in his name such as the frivolous,Bawumia,become president project name frivolous
brought,Bawumia,brought
"why have you sold your conscience for politicians..
 Your mother gave birth to you to be better person ..Don't let her regret,leave NDC",Bawumia,sold conscience politician mother gave birth better person let regret leave ndc
. He's just talking based on prejudice. He has no tangible and rational basis for voting for the,Bawumia,talking based prejudice tangible rational basis voting
drive is just a massive corruption vehicle for,Bawumia,drive massive corruption vehicle
. He's hiding there. Everything about,Bawumia,hiding everything
"really need this presidency seat coming December,
 
 Then there is only nothing 
 
 Which is slashing data prices and that will even help the",Bawumia,really need presidency seat coming december nothing slashing data price even help
"etc
 
 Sir it's either you stand on business and disassociate yourself fully or you accept that",Bawumia,etc sir either stand business disassociate fully accept
"you no longer have to endure darkness when your electricity credit runs out. With just the click of a button, you can recharge your electricity meter at any time of day. This is the Ghana that Dr.",Bawumia,longer endure darkness electricity credit run click button recharge electricity meter time day ghana dr
"& internet?;
 
 such authoritative ignorance is the reason govt have poured cold ice on that agenda;
 
 Below are hurting telcos:
 1. forex
 2. taxes/levies
 3. opex
 
 push govt/",Bawumia,internet authoritative ignorance reason govt poured cold ice agenda hurting telco forex tax levy opex push govt
"to solve any problems. Ever since he assumed office as VP, spearheading the economy and",Bawumia,solve problem ever since assumed office vp spearheading economy
without internet? If Dr.,Bawumia,without internet dr
", who is the vice president hiding his incompetence under",Bawumia,vice president hiding incompetence
", it is just one the policies to be rolled out as a result of the",Bawumia,one policy rolled result
"has done well for the country. He should start listing ah ""fshs,",Bawumia,done well country start listing ah fsh
"from the current mess. In one the gov't has done so well with free SHS etc .
 Gold4iol was championed by",Bawumia,current mess one gov done well free shs etc gold iol championed
keeps flopping from,Bawumia,keep flopping
"or that policy is dead ?
 
 You are more confused than Bawu",Bawumia,policy dead confused bawu
started his campaign he has not spoken about the corruption in his,Bawumia,started campaign spoken corruption
sham.,Bawumia,sham
has skyrocketed under,Bawumia,skyrocketed
for a specific purpose and that was to manage the economy. Today the economy is in shambles and he's campaigning on the back of,Bawumia,specific purpose manage economy today economy shamble campaigning back
", all ghost names have been removed from the govt payroll.
 OSP:",Bawumia,ghost name removed govt payroll osp
s prudent social and economic policies coupled with digitisation and,Bawumia,prudent social economic policy coupled digitisation
economy that. See the problem with your eyes but report it digitally before they partially do something about it,Bawumia,economy see problem eye report digitally partially something
& NDC I hope u're learning from this Mr.,Bawumia,ndc hope learning mr
can claim,Bawumia,claim
. Have nothing to say except freeSHS and,Bawumia,nothing say except freeshs
"policy documents to be published will be done in the same superficial way, just targeting the election.",Bawumia,policy document published done superficial way targeting election
chopping all the,Bawumia,chopping
"this is what he means. No ideas to solve the issue at hand, just avenues to create looting schemes digitally. Some Ghanaians again are falling for such visionless things.",Bawumia,mean idea solve issue hand avenue create looting scheme digitally ghanaians falling visionless thing
agenda. If we make mistakes wey,Bawumia,agenda make mistake wey
achievement and praise,Bawumia,achievement praise
will use the name of,Bawumia,use name
. EDUCATION IS IMPORTANT. GO STUDY ABRAHAM MASLOW'S THEORY OF NEEDS AND COME BACK.,Bawumia,education important go study abraham maslow theory need come back
"is implementing, then let him start the Credit Scoring system now. 
 I don't think given his record of shifting from economics to",Bawumia,implementing let start credit scoring system think given record shifting economics
who is the problem. Surely somebody like you should know the many millions of $ he and his related companies are stealing through,Bawumia,problem surely somebody like know many million related company stealing
"no fit help 
 Now e turn to common sense 
 Yooooooo when he wins in 2054 then he apply that his common sense. 
 You guys think sense be common for",Bawumia,fit help turn common sense yooooooo win apply common sense guy think sense common
projects spearheaded by,Bawumia,project spearheaded
"came to power 
 Also, I asked a specific question, it's like you don't even know",Bawumia,came power also asked specific question like even know
's leadership is steering Ghana to exciting new heights in,Bawumia,leadership steering ghana exciting new height
to explain,Bawumia,explain
"So He owes that party a great loyalty
 
 Reason why he'll go that extreme to make their policies and",Bawumia,owes party great loyalty reason go extreme make policy
and his policies but you can't tell me,Bawumia,policy tell
ideas that your candidate,Bawumia,idea candidate
is handling the,Bawumia,handling
start in this country long before,Bawumia,start country long
